rmse,mae,delta1,absrel,lg10,mse,delta2,delta3,data_time,gpu_time
5.014298866314548,2.663393108984822,0.8396685879307857,0.1338224970232998,inf,30.75060345728764,0.9428096890842422,0.971333409556228,0.4140687559160774,0.19601830408124182
3.838018700524897,1.8500390219424316,0.911748175330524,0.09356737801599856,0.03968132626684204,15.406430113526758,0.9797290329414012,0.9938518785463366,0.4233558248442867,0.20309266847380533
3.6221538056505254,1.6896599560717838,0.9259517974835224,0.0854716981760716,inf,13.792686469677907,0.9830265874328513,0.9944685024976946,0.44507529823837916,0.18311239619649877
3.491967834428524,1.5886460536667244,0.9337398053001706,0.08044990096339984,inf,12.85565514289317,0.9846146667596055,0.9947903837388375,0.44121957159233494,0.18908633557297402
3.3777171936069714,1.5108182468289348,0.9401598988352734,0.07633445674221062,inf,12.04464824651522,0.9862268976464178,0.9952216494556625,0.44078587552637,0.19020647506488614
3.1190179381758103,1.3053547426326682,0.9527854229745092,0.06447955732500803,inf,10.290950994584886,0.9884093248722373,0.9958312425817489,0.4422200948666624,0.1898877339231357
3.0303787132760243,1.2481234896353086,0.9562698974341577,0.06127869284296595,inf,9.689348203355621,0.9890224182021541,0.9960265105528326,0.3475408705240344,0.18968609626794353
2.9946626551936606,1.217526508376473,0.9578561172686354,0.05913545894759476,inf,9.468230384150731,0.9893285863091528,0.9961574401718178,0.3626947260011882,0.18092486474140057
2.9477421299027844,1.1892365621886405,0.9597308816907119,0.057399075355482415,inf,9.166979039282095,0.989591312808706,0.9962408196067539,0.3622442160149668,0.19009860206958493
2.909019032701527,1.1656016393199233,0.9613319853529695,0.055894418031299666,inf,8.90852362971579,0.9899131465968344,0.996339943703277,0.35991928448045485,0.19295070290663116
2.8912746587261204,1.1445969900567594,0.9620044362513671,0.05448442965782535,inf,8.806003689699136,0.9900227480009504,0.9963898922825604,0.3706759371884316,0.18409627877680948
2.8751241083493118,1.136643381469399,0.9624486251086193,0.05404902590937843,inf,8.715989968945335,0.9901265580640477,0.9964251102422271,0.3726065458498568,0.18432082046152656
2.862906101191224,1.1290263644190042,0.9630042877769035,0.05360893645238673,inf,8.629253731992275,0.9902694177655309,0.9964442999114981,0.3713925638556876,0.179203040239847
2.859840592484923,1.1288712569328379,0.9629955909811296,0.053590219458404954,inf,8.60310977054338,0.9902384640723383,0.9964506065818257,0.42205186883086127,0.16598818952742025
2.854248298506851,1.1249650670590008,0.9631396055010895,0.053299529265766026,inf,8.56508025719808,0.9902607563764729,0.996492448806105,0.3693922362005519,0.18478125888958793
